# Generado automaticamente por convertidor unificado v3 (KeyError fix)
# Motor1,Motor2,DuracionMs
29834,33488,272
0,5587,271
25087,29834,272
29834,25087,272
37589,29834,272
33488,29834,136
0,4978,135
0,5587,272
0,5587,272
37589,37589,272
37589,5587,135
0,5587,135
0,29834,137
33488,0,136
29834,3729,272
0,25087,135
0,4698,135
0,22350,545
0,22350,272
0,25087,272
0,7458,272
59668,44701,272
0,7458,272
50175,7458,271
0,50175,273
44701,7040,272
37589,7040,271
33488,37589,272
29834,33488,272
37589,29834,272
37589,25087,272
0,29834,272
37589,37589,272
33488,5587,272
29834,5587,271
29834,33488,273
0,5587,272
25087,29834,271
29834,25087,272
37589,29834,272
33488,29834,135
0,4978,137
0,5587,272
0,5587,272
37589,37589,272
37589,5587,135
0,5587,137
0,29834,135
33488,0,135
29834,3729,273
0,25087,135
0,4698,137
0,22350,544
0,22350,272
0,25087,272
0,7458,218
